comment,likes,replies
"Matthew is more than a scientist, he's a storyteller!",3,0
"Great job Matt! Thanks for the intellectual information on sleep! Also, I like your speaking style!!",0,0
I love sleeping. I don't let anyone try to guilt me about sleeping as much as I need to. We eat when we're hungry. We drink when we're thirsty. We must sleep when we're tired. Nothing to be ashamed of.,883,18
Fantastic talk - thank you TED and Matt Walker. Going to show this to my teenage boys. Esp one of them with very poor sleep hygiene.,0,0
I like this talk. Sleep has always been one of my superpowers because I sleep well and can sleep for a long time and because I still weigh almost the same healthy weight all of my adult life and in good health my whole life so I sleep well except the odd night.,6,0
ive been sleeping 5 hours ish at night for years now and i feel like it’s finally taking its toll and im only 22. i thought the main reason for my memory loss was due to my drug use but i definitely think the amount of sleep i get has had a greater influence in that matter,1,0
I suffer from anxiety and I swear the one thing I learned on my own while trying to control it is that getting the proper rest is the key thing to helping it and also a healthy diet sleep is definitely one of my hard priorities in life very important,1,0
Excellent conclusion at the end of the talk. Thank you so much for a very informative talk. Going to healthy sleep.,0,0
"That should be a mandatory class at all educational facilities starting  at early ages. Including experimental practice. 

Great job, study insights and strong presentation.",37,1
"Excellent presentation, thank you for this.  Definitely will be revamping my sleep hygiene",4,0
"I've read his amazing book and recommend it to all. One question though. Routine wake up time is important for healthy sleep hygiene. If we have a late night due to whatever reason, is it better to deprive ourselves of the 8 hour window of opportunity for sleep and get up at normal time, or do we sleep for the 8 hours and wake up later, changing our cycle acutely? 
Thanks!",2,0
Very impressive speech on sleep issues.thanks dr matt.,1,0
WOW!!!! Thank you very much Mr. Walker for your service to humanity!!!,3,0
"It's, literally, gold. Everyone needs to watch this. Just perfect.",1,0
"This is the quality I expect from TED, awesome work Matt in saving an entire generation of morbidly depressed, sleep deprived, overly stressed students!


You rock Walker",276,5
Creo que los estudiantes de medicina en México se encuentran sometidos a una presión excesiva para trabajar demasiadas horas de noche y me parece que desconocen mucho de lo que se presenta en su excelente plática.,0,0
"Above all, listen to your body. For example his tip about staying cool when you sleep is a good one for most people but I find it hard to go to sleep if it's below about 77F and prefer it to be much warmer, as high as 90F.

Also, and this cannot be overstated: Some people are naturally nocturnal. If you're a day person just imagine what it's like if life forces you to be awake at night and then you have to try to catch up on sleep during the day. That's what night people feel when the shoe's on the other foot.",1,1
"I always make sure to get at least 7 hours of sleep, 9 at the most, and I always feel good and ready for the day, I sleep at the same hour everyday (regularity) and i wake up for work at the same hour everyday except for the weekend I let myself get extra hours of sleep. best Ted Show I ever watched .",6,0
What a great scientist and speaker! ,6,0
This is such a great TED talk. Helped me out a lot!,1,0
"As someone sleeping for 4 hrs often , i really cried cause i never knew how much suffering im putting on my body despite abstaining myself from vices. I love to watch this before 10pm everyday so i can appreciate 8 hrs of life support <3",744,27
"Upon watching this show, I've noticed why I often forget things after a second which resulted to be forgetful occasionally. My mind is like an empty shell which doesn't work during group discussion, slower to function, can't easily catch up obvious words. I doubted, it's because of night shift work, and I constantly lack of sleep. Thank you for waking me up to reality. Hoping we can have a deep sleep again.",1,0
Simple. Yet powerful. Love it.,1,0
"This speech was brillant, this made me realize how badly I need to improve my sleep.",0,0
"I was 35 years old when I had my testosterone checked; I had the levels of a 60 year old. I was 39 years old when I was finally diagnosed with severe sleep apnea. As I didn't have the characteristics of someone who typically has apnea it wasn't considered at the time. With my apnea I was having 85 episodes per hour, 30 is considered severe. Getting on a CPAP machine has changed my life. Get a sleep study and rule it out!",0,0
One of the best talk I ever saw in TED. Thx doctor Matt,1,0
This is so powerful. A wake up call for me to sleep.,677,5
This sleep is your superpower by Matt Walker and The Ted youtube channel is informational and definitely encourages me to stick with my original intent of the minimum amount of sleep that I intend to consistently get for at least 5 times a week andor more.,4,0
" I always slept 8hrs minimum but having two kids under four I haven’t slept a full night in over 4 years, I really fear the damage done. I can definitely see the difference in my memory",0,0
"This TED Talk deprived me of sleep. It stimulated my brain like caffeine, then I checked my testicles!  Kidding aside, regularity of sleep is king!  SLEEP IS NON-NEGOTIABLE BIOLOGICAL NECESSITY.  
I hope you all get long life!",1,0
"Cuesta un poco descansar pero es necesario, debemos hacer el esfuerzo de dormir, eso mejora nuestra salud y así mejoramos nuestro aprendizaje",5,0
Que conteúdo top! 🇧🇷,0,0
"This is true actually, my cousin fell into a coma and after a month they needed another hospital bed for his testicles.",1704,16
Very well spoken ,0,0
"This is fantastic, I love sleeping, so nice to hear it from someone else that it's a necessity and not a luxury... :) :)",8,0
This guy is spitting facts I didn’t catch covid all the way through the pandemic my sleep patterns was actually decent but then when lockdowns etc started to lift my sleep was bad stayed awake for 48hrs had no choice then I got covid,1,0
"Very interesting topic! This talk is focused on sleep deprivation (undersleeping). How about the other end, oversleeping? What is the current evidence on harmful effects if a person sleeps 10+ hours? Thank you!",3,0
"While listening to this talk, a great book called ""Why we sleep"" came to my mind. I just checked and it turns out this guy is the author. While reading the book I learned that sleep is crucial for so many things. Unfortunately, as with any book with good advice, soon after reading it, I stop following the advice. I guess I must read it again to remind myself of the many great benefits of full night sleep and the many terrible consequences of not getting it.",0,0
This is by far one of my favourite ted talks because of the presentor's unique ability to talk at relatively slow pace pronouncing each word perfectly,160,2
"As the individual, who suffered of insomnia for nearly half of a year - great thanks to You, Sr!!!",1,0
"He’s completely right,  i was diagnosed with a sleep disorder after my professor noticed i have a problem with recalling information",3,0
If sleep can help me be as well spoken as this guy I must try it,9,0
With the possible exception of the late Sean Stephens this guy is one of the best speakers I've had the good fortune to listen to. Thank you so much for sharing all this information.,0,0
Dr. Matt book was an eye opener. I have been thoroughy working on my sleep quality and quanitity systematically after reading that book,0,0
"Highly recommend his book ""Why we sleep"".. its like this ted talk but 15 hours longer, fascinating and one of the only books in the last 10 years I've read without putting it down once..",64,3
He is well spoken  ,0,0
"Это очень важная информация, спасибо за Вашу работу!",6,0
"I’ve always known that getting “x” amount of hours of sleep can impact your daily activity and other all health, but I will admit to being ignorant to just how big of an impact it will have. My sleep habits seem to changed often as sometimes I can get minimal sleep and function as normally as I would, and then I can get a full night of sleep and sometimes am able to function better and other times I feel that I’m just the same as with minimal sleep. I don’t know what that means for me, but it is something I’ve never really paid attention to before now. I wonder what kind of results I would have if I were to participate in such a sleep study; perhaps that is something I can look into for the future.",0,0
"This topic is too interesting, I read his book couple of time and almost all his videos, Better sleeping really made my life more better, And I know now when I don't get enough sleep what's happening to my body.",1,0
I’ve heard Matt speak many times before. That’s why he gets a like before I even watch the video haha what a wholesome and knowledgeable individual he is.,0,0
"Summary: Get a deep sleep for 8hrs every day
Men who slept only 4-5 hrs had significantly smaller testicles and their testosterone levels were 10 years their age

Sleep is the save button for learning
 and is also needed before learning

In a study difference in learning between a group having slept for 8hrs and a group having pulled an all-nighter is 40%

Hippocampus(informational inbox in brain) activity was much more in sleep rich and none in sleep-deprived

Brain spindles in deep sleep makes file-transfer
s which helps in retaining information.
Sleep and cardiovascular activity are related- more heart attacks when daylight savings
 are on due to lesser sleep.
Sleep and immune system- a huge 70% drop in immune killer cells when one gets a 4-hr sleep.

The shorter your sleep shorter your life
.
There is a damaging impact of alcohol and caffeine
 on sleep
Tips for better sleep:

	1) Regularity in sleep
 - Sleep and wake up at the same time every day 
	2) Keep it cool- Keep the room cool for better sleep- optimal temperature is18degC

If you toss and turn in bed- then go to a different room and do a different activity and come back when you feel sleepy- this will make associations in the brain between being sleepy and the bedroom",2059,47
"Thank you for this excellent presentation. Can I please ask a few questions : is there an issue also in light sleep and deep sleep ? If you sleep three hours at night and sleep more hours in the afternoon and total 8 hours, is there an issue here ? Thank you",18,4
"What a great talk. Makes me think about adolescents who tend to sleep very little and what it means for the population overall. PM asks for more Maths teachers to get more extraordinary talent ready for the work, but these underlying issues may be preventing young people from achieving their potential. Maybe!",0,0
Love this. Share it with my patients often,0,0
"He’s an amazing storyteller, its fascinating",0,1
"I have always known sleep is the best thing for health and wellness. I have napped everyday of my life. 
So healing",0,0
This guy is a legend! I also read his book titled “Why We Sleep” and it was absolutely stunning. This guy amazes me.,53,1
I love his choice of words.. made the information more absorbable,1,0
It was midnight and I thought I’d try to guilt myself to go to bed by watching this.    I’m thankful that my lack of sleep is by choice.  I have a friend however that struggles a lot so I know the long term battle some people have and its real.  No easy answers.  Good night ,0,0
So comforting hearing all this knowing I get a average of 5 hours of sleep.  Not sure how I can fix this problem either as I work a 12 hour swingshift.,1,0
"Great communicator Matt Walker, im really going to enjoy reading his book",0,0
such a well explained and in detailed lectures !,0,0
It’s amazing how well some people public speak. Not a hint of nervousness or uncertainty in what he’s saying.,62,2
"Thank you so much for all your knowledge
After your words I feel in my Heart to ask for forguiveness to my cells, organs body, mind soul, genes and I asked to the Angel of Sleep to help me and help all to heal our bad memories, bad habits and substances about our good Sleep
And after this, I starded to see better!
My vision is much better!
I will continue to do the best for my healthy sleep",0,0
"When I fixed my sleep, my life changed. It’s truly absurd how alive I feel now with good quality sleep every night. I been missing out.",4,2
"I've tried to find an answer to my question for s long so I thought id try YouTube comments. Why does my whole body tingle when I’m almost asleep? It's not a tingling like some body part is falling asleep due to restricted blood flow, it is more of an insanely pleasant sensation that can happen for hours or minutes while I'm almost asleep. It is honestly one of the best feelings/sensations I've ever felt. It usually happens when I sleep too much, too little or sleep and wake up at weird times.",0,0
Sleep is so amazing and wonderful. So are beds. Soft comfortable places where we lay our bodies to rest. What a great concept.,0,0
Thank you so much for sharing the very interesting and necessary information with us,0,0
"I love his tone and how he speaks, the information is clearly transfer with suitable slides and explaining each data in detailed to create awareness to us in every aspects. Thanks TED and Professor.",29,0
Imagine what your public speaking class or teacher would react like if you started like this guy.,1,0
"I’m 56 years old, and I haven’t been able to sleep for more than about 2 hours at a time about twice a day, very little of which is restful sleep according to my Apple Watch. This has been the case for a few decades now. However, my heart rate drops to as low as 47 bpm and has a very large heart rate dip and a high hear-rate variability, putting me into the 98th percentile for each of these measurements. Maybe that’s my adaptation to lack of sleep throughout the past few decades. I know that obesity and senility are linked to lack of sleep, so that’s a great concern; however, I’m really unable to sleep and definitely can’t get into a deep sleep for more than a few minutes at a time. I’m annoyed when people like my wife claim they didn’t sleep at all when in fact they’ve been snoring for six hours, indicating they have been sleeping. It seems that people think they haven’t slept if they’ve lost only 2 hours of sleep. I’m the opposite in the sense that I’m physically unable to sleep for more than 2 hours and have to try about 4 hours later to try to get an additional 2 hours of sleep, usually while there’s a lot of noise in the house or apartment.",1,0
"Matt you said about the sleep clinic and I been trying too find something like this , I'm 49 and I'm still suffering from nightmares since I was a kid and had the night terrors and sleep walking/ running ect . I can't escape from this without help and I will come and help out with the studys so I can go help others ",0,0
"For the people who stayed up all night , would be interesting to test boring awake time versus doing something the person is enjoying while staying up all night and then learning.",0,0
"My god, this was a fantastic presentation. Bravo.",0,0
One of the few Ted speakers that doesn't talk about himself for 14 out of 16 minutes. Thank you.,138,0
When I was a teenager I had a friend who's entire family would stay up every single night until 2-4 am and sleep until 12-2 pm. They always claimed it was because they suffered from insomnia. It's not insomnia when you can't sleep at night because you've slept half the day away! She home schooled so this wasn't an issue for her but I always hated spending the night there because I'd be trashed for a solid week after.,0,0
by far one of the best TED speeches i’ve ever heard.,4,1
I am genuinely amazed by this Ted-Talk. Thank you.,0,0
Health care workers who work shift jobs are definitely in for it. Sleep deprivation is a silent killer,1,0
Thank you Matt Walker. I wish you can make a part 2 of this now in times of global crisis of Covid 19 outbreak. I believe that sleep deprivation contributed to the worsening of the disease compared to with mild symptoms and recovered. In this video you have touched on its effect on health and immunity and genes. Let us heal the world.  #sleep deprivation #covid 19,9,0
A great and very helpful presentation.,1,0
"I had bad insomnia when I was younger, and I once went 3 days without sleep. It really messed with my short term memory, and it made me feel delirious. It almost felt like I was beginning to dream while I was awake.",0,2
"Thank you for this information. Had problems with my sleep, fixed it with fasting.",0,0
Matt Walker's appearance on the Joe Rogan Experience entirely changed my outlook on sleep.,2,0
Well explained ,0,0
"What an excellent speaker. I learned a lot here, and it’s entirely because of his abilities.",84,0
one of the life changing speech I have ever heard.,0,0
Thank you. My mom never sleeps at night or day. She always stays in home only. Somehow this video triggers me to spend time and money for her well being.,28,0
It hits different when your sleep cycle is heavily fluctuated and you sleep good only for 3-4 hrs,0,0
"Great advice there at the end, always worked for me... Unless I'm doing something very exciting the following day of course, then nothing healthy will work",0,0
"I've had used to sleep 5hrs a night. From 11PM to 1:30AM and from 2PM to 4:30PM. I was working two jobs like 16-17hrs a day in the past 5 years. When I was in my second job I was dead tired, I've couldn't focus and even my speech was slurring at times. Few weeks ago, I've decided to take some time off for my first holiday. I went to Gibraltar for three weeks and they were the best of my life. I was sleeping solid 8 to 9 hours a day, my energy was through the roof, and my mood was on point. When I came back from holiday, I've decided I will quit both of my jobs. I've decided I will prioritize my sleep first. I don't mind working long hours but sleep is a fucking must",5,0
"Honestly one of the best videos I’ve seen on here, but I’d definitely love it more if he touched on how long it would take to reverse the damage if we got 8hrs going forward.",8,0
"There is no doubt why america has one of the most expensive universities. Its simply justifiable by the quality of their professors. Take mr Matthew for example with one of the finest keynotes about sleep. Well done sir, your book also is soooooo complete and amazing.",1,0
I averaged 6.2 hours of sleep a night in 2021 and so far in 2022. I’m not overweight but I’ve always been into lifting and have not been able to lose weight like I used to. I have realized this is because of my lack of sleep. Wish me luck in forcing more sleep on my body,0,0
"I was diagnosed with severe sleep apnea recently, after the first night of using my CPap machine….I woke up and it was unbelievable how much a difference it made, I realized this is what it is like to get a good nights sleep…life changing…I had 71 episodes per hour down to 1-2 per hour…life saving….my kids videoed me and showed it to me…they asked me to please get a sleep study…I’m so grateful I listened to them  ladies if you are post menopause our rates of diagnosis equal  that of men.",0,0
"Sleep is indeed our super power, without it we cant just survive longer.",0,0
Thanks to everyone who contributed to this platform,0,0
"I highly recommend his beautifully-written book: Why we sleep. I know it looks deadly
 boring at the first sight, but it’s such an eye-opener for me! And believe me, the whole book is written in an intriguing and thought-provoking way. I’m not a massive fan of neuroscience but I certainly have been hooked by his brilliant writing style!",10,0
"well done, excellent lesson",1,0
Thank you for this really important and beautiful message.,1,0
What a wonderful human being. A gift,0,0
Sleep has always helped me remember and memorize things more effectively.,2,0
"For those who think sleeping will cure every kinda performance issues you're having. Please watch TED talks on exercise, eating right food and just having fun (yes there's a TED talk on having fun). Performance is a combination of all these. Doesn't just work if you sleep for 10 hours a day which I think this talk should have stressed. Life is about balance.",2,1
"This was so clear and so important. The only missing piece is how to get other people in your home to buy into this. Kids popping up to wake you up, spouses or partners with different schedules coming to bed after you're asleep, disturbing you with their snoring etc.",78,11
"Very strangely, I scored my highscore on the memory test on human benchmark after a night of no sleep at all at around 220.",0,0
I have a two year old that constantly wakes up in the middle of the night whaling since he was an infant. I'm lucky if I get 6 hrs of sleep and have noticed a change in health these last two years.,0,0
His book definitely changed my life. Highly recommend,0,1
"My 3 year old son knows that sleep is good. The problem here is we are adults and I learned sleep was good about the same time I learned to say ""papa"" and ""mama"" and when I fell down I learned how to say ""boo boo""  That's right about the time I learned sleep was good.. But really,  thanks for taking 10 minutes in front of hundreds of people on stage to bring it full circle for me...what a revelation...",1,0
Coming back and watching this now that I can fall asleep I want to is great!!,1,0
I love this talk. It makes me remember I need to keep my circadian rhythm at check. Its one of my favourite Ted talks that I come back for over and over again.,13,0
"His voice is soothing, I can literally fall asleep peacefully.",6,0
"This all sounds like good info for some one like me who doesn't sleep much. But it's not because I don't want to, it's cause I can't sleep for 8 hours. I always wake up early involuntarily.",0,0
By far the best TED talk I've heard.,0,0
"I had exams, and one night I kept studying and slept only 2 hours! Let me tell ya, when I saw the question paper I was confident because I had learned all that stuff, but as I started to recall it, I just couldnt remember anything. I was getting cold sweats, and I felt miserable.

So take care of your sleep!",1,0
"Awesome. I want more of this.

Where can I learn more?",0,0
"God has been showing me that my poor sleeping habits like some all-nighters are my problem. I have improved but not enough. Today, God led me hear to listen to you. You have sufficiently scared me straight! Thanks dude! I needed this. God bless you for your passion in this matter as you are literally saving lives.",9,1
"I wish someone would have teached this to me in school 20 years ago, would have scared me to work more on proper sleep. Have always fought to go to sleep late at night..",0,0
"Thank you for your honest research. This is the research we need in the U.S.A. The old adage here, ""You'll sleep when your dead."" Shocking, ""Sleep is a non-negotiable necessity.""",0,0
Everything he told is true. I experienced all those facts.,1,0
"I feel like the opposite happens to me, my immune system shuts down at night.  If I have a cold, it will be at a certain level all day and evening, I'll go to sleep, and wake up much worse.  But the cold never advances in severity until I sleep.  Mouth bacteria seems to flourish at night, etc.",0,0
Amazing and so powerful!,0,0
"For only 50 to 100 pages from his book Mr. Walker convinced me to sleep 45 to 75 minutes more per night. Thank you, Mr. Walker.",38,0
Thank you so much for this relaxing  video ,1,0
Your experiment must include a group full of people with less sleep habit (5-6 hours). It depends on habits rather than less or more sleep.,0,0
Gosh! You are absolutely right! Thanks a lot for your amazing speech.,0,0
"No everyone has a privilege to be able to get 8 hrs of sleep. Me for instance; I live at hostel for years where I share room with a bunch strangers, it was impossible to have an uninterrupted 3 hour sleep and 5 hours average. And after picking myself up a bit I was able to afford to live in a share house I faced the same issues here too, although no as much as the hostel. And working shifts work further worsen the situation. On top of that trying to study makes things even complicated. You forgetful can’t focus and tired all the time 

Everything he is saying is true.",1,0
"I want to hear your theories:

If you need it colder to sleep, why do I fall asleep when I am very warm such as when the heater is on, in the hot summer, in a hot car, or cuddling next to my 3 dogs (each are about 102° F)? I struggle to sleep if it is cold (below 76°F)",1,0
"This man's book changed my life for the better! Great work, Dr. Matt!",142,7
"I love sleeping because I love dreaming. Especially lucid ones, which I find so helpful and uplifting in my daily life.",3,2
Just a wonderful speaker could listen all day,0,0
I also late but I sleep a lot. I have always believed in sleeping naturally as much as needed by body. Like not having alarms. Wake up naturally when you are ready to wakeup,0,0
"There are two types of people when it comes to brain time and function 
Night person
Morning person

And I am in the first type and learn more than others in the morning, because I don't sleep at night and study.
So in the morning I find myself ready to reserve information and process it at night.....
Sleep is absolutely great System to use our brains cells more. 
But every one have his own way of sleeping",0,0
"He look very refreshed, very calm, very smart, he do what he says, he looks healthy and he is fit.
An a example",0,0
What a phenomenal talk. One of the best by far and most useful anr implementational. Thank you Matt.,24,0
Excellent topic !!! Sleep regularly at the same time is king !,0,0
"This is why the question about sleep hygiene is now at every psych assessment required. Now,we need to make the same requirement for all doctors.",0,0
"Amazing data, thank you, doc!!",0,0
Amazing! Both the speaker and the topic.,0,0
Excellent job...well define the key of well being...,0,0
"Love the analogy "" you'd never wait at the dinner table to get hungry, so don't wait in bed to get tired."" 
If you can't sleep and tossing and turning at night, simply get out of bed, occupy yourself doing something out of bed.",89,0
Good video on making the point of what sleep deprivation does to your heath however very little is said about how to achieve good sleep.,0,0
"I knew it, sleep regenerates your body and mind, my survival instincts have always been right about sleep",1,0
"Hi, Is there any chance that anybody at TED could synchronise the close captions of this video. I would like that friends, family and my students could learn about sleep with this video. Thanks in advance",0,0
The best and most significant Ted talk I have viewed to date.,1,0
"Me, knowing this as a Med student but still sleeping like 5 hours a week: ",2,0
"This guy is my hero. Since I had a kid 11 years ago and adopted his sleep times, my life has improved in every way, get your 8-9 hours every day you will not regret it.",16,1
"Absolutely genius!! G-D Bless You, Sir. Thank You very much!! Sweet dreams!!!",0,0
This was pretty well explained. But how does sleep help when you know its just an escape mechanism?,0,0
Excellent video. Really enjoyed it!,1,0
"An utterly important, eye opening video.",0,0
"Everyone knows sleep is important 
But not everyone is committed to do it",1,0
"Fantastic presentation, thank you, Matt and all researchers involved!",17,0
"Even if I don't believe those studies and experiments, I myself has witnessed the effect of poor sleep. This man is right. Sleep is a nonegotiable biological necessity.",0,0
This man wrote a good book about sleep.,0,0
Would be interesting to see the data on biphasic sleep patters on health,0,0
thank you Matt for the teachings..,0,0
Watching this video at 3.00 am and decided to sleep @ 10.00 pm to 5.00 am for my regularity sleep routine and regain my core strength back Thanks Matt Walker,32,1
Brilliant speech ,0,0
"When I become a lecturer of communication skills , this will be my go to , it's perfect delivery regardless of the subject.",0,0
This man is genius in public speaking!!,0,0
"To be honest, it is more than 10 years that I can't sleep without break. That's why i always feel as tired. I wake up from all sounds even if they are low db. Sometimes I think to drink some pills to down to deep sleeping without any breaking.",0,0
Now we know why some people in the ancient world had such great memories. They slept much better!!!,15,0
"Gerçekten uyku bu kadar önemliymiş , artık verimli bir çalışma ve düzenli uyku uyumak istiyorum. Umarım başarabilirim Âmin . NaviTayfa",41,5
"That was the most awesome thing i have ever heard ,",1,0
"One of the most important Ted videos. Perhaps humanity is so screwed up because most of us running on a few hours of sleep, making decisions with unclear minds",106,9
Listening to this I have never felt to tired in my life,0,0
"“You’d never sit at the dinner table, waiting to get hungry, so why would you lie in bed, waiting to get sleepy” these analogy hit hard and different.",3,0
Excellent.  I sleep 9 hours each day. From 2 am to 12 pm.,0,0
Watching this without sleeping wholenight yesterday and watching now as i still not feeling sleepy.,0,0
"Watching it after my 24hour medicine internship duty  
Doctors have the worst sleep schedule!",3,0
Truly informative and well delivered!!! Waw!  thank you ,10,0
